text,intent,entities
Je dois me rendre de Argenteuil à Marseille,TRIP,"[{""start"": 21, ""end"": 31, ""label"": ""Departure""}, {""start"": 34, ""end"": 43, ""label"": ""Destination""}]"
Je me déplace la semaine prochaine de Montpellier à Rennes,TRIP,"[{""start"": 38, ""end"": 49, ""label"": ""Departure""}, {""start"": 52, ""end"": 58, ""label"": ""Destination""}]"
Pourrais-je avoir un trajet Nice - Tchaourou,TRIP,"[{""start"": 28, ""end"": 32, ""label"": ""Departure""}, {""start"": 35, ""end"": 44, ""label"": ""Destination""}]"
!!!,UNKNOWN,[]
Wie viel kostet es nach Hamburg?,NOT_FRENCH,[]
Est-ce que je peux réserver pour Comè Tchaourou,NOT_TRIP,[]
Je veux un billet Marseille Comè,NOT_TRIP,[]
Aller de Comè vers Dijon,TRIP,"[{""start"": 9, ""end"": 13, ""label"": ""Departure""}, {""start"": 19, ""end"": 24, ""label"": ""Destination""}]"
Réservation Kandi → Caen,NOT_TRIP,[]
depuis Montreuil jusqu'à Tours,TRIP,"[{""start"": 7, ""end"": 16, ""label"": ""Departure""}, {""start"": 25, ""end"": 30, ""label"": ""Destination""}]"
Je me déplace la semaine prochaine de Rennes à Paris,TRIP,"[{""start"": 38, ""end"": 44, ""label"": ""Departure""}, {""start"": 47, ""end"": 52, ""label"": ""Destination""}]"
Comment prendre un billet Nikki Lokossa,NOT_TRIP,[]
Je pars demain de Le Havre à Sakété,TRIP,"[{""start"": 18, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 35, ""label"": ""Destination""}]"
Trajet Tchaourou → Saint-Denis,TRIP,"[{""start"": 7, ""end"": 16, ""label"": ""Departure""}, {""start"": 19, ""end"": 30, ""label"": ""Destination""}]"
Comment commander un billet Natitingou Allada,NOT_TRIP,[]
Pouvez-vous me trouver un train de Le Mans à Caen,NOT_TRIP,[]
bla bla bla,UNKNOWN,[]
Trajet de Rennes à Rouen pour raison personnelle,TRIP,"[{""start"": 10, ""end"": 16, ""label"": ""Departure""}, {""start"": 19, ""end"": 24, ""label"": ""Destination""}]"
Je dois me rendre de Lille à Sakété,TRIP,"[{""start"": 21, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 35, ""label"": ""Destination""}]"
Buenos días,NOT_FRENCH,[]
Je vais à Allada depuis Boulogne-Billancourt cet après-midi,TRIP,"[{""start"": 24, ""end"": 44, ""label"": ""Departure""}, {""start"": 10, ""end"": 16, ""label"": ""Destination""}]"
Hoeveel kost het om naar Utrecht te gaan?,NOT_FRENCH,[]
Guten Tag,NOT_FRENCH,[]
Pourrais-je avoir un trajet Boulogne-Billancourt - Angers,TRIP,"[{""start"": 28, ""end"": 48, ""label"": ""Departure""}, {""start"": 51, ""end"": 57, ""label"": ""Destination""}]"
Il reste des places pour Djougou Saint-Étienne,NOT_TRIP,[]
Je pars demain de Le Havre à Aix-en-Provence,TRIP,"[{""start"": 18, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 44, ""label"": ""Destination""}]"
Trajet Parakou → Nantes,TRIP,"[{""start"": 7, ""end"": 14, ""label"": ""Departure""}, {""start"": 17, ""end"": 23, ""label"": ""Destination""}]"
Necesito ir a Sevilla,NOT_FRENCH,[]
Est-ce que je peux réserver pour Boulogne-Billancourt Caen,NOT_TRIP,[]
Comment prendre un billet Brest Parakou,NOT_TRIP,[]
Pouvez-vous me transférer le document,NOT_TRIP,[]
Je voyage ce soir de Reims vers Angers,TRIP,"[{""start"": 21, ""end"": 26, ""label"": ""Departure""}, {""start"": 32, ""end"": 38, ""label"": ""Destination""}]"
Prix du trajet Ouidah Clermont-Ferrand,NOT_TRIP,[]
"Ein Zug nach Stuttgart, bitte",NOT_FRENCH,[]
Paris - Rouen,TRIP,"[{""start"": 0, ""end"": 5, ""label"": ""Departure""}, {""start"": 8, ""end"": 13, ""label"": ""Destination""}]"
Avez-vous des trains pour Rouen Lyon,NOT_TRIP,[]
Je dois effectuer le trajet Saint-Denis Orléans,TRIP,"[{""start"": 28, ""end"": 39, ""label"": ""Departure""}, {""start"": 40, ""end"": 47, ""label"": ""Destination""}]"
Bom dia,NOT_FRENCH,[]
Est-ce que je peux réserver pour Argenteuil Nice,NOT_TRIP,[]
Ik wil een ticket naar Rotterdam,NOT_FRENCH,[]
I need to go to Birmingham,NOT_FRENCH,[]
"Good morning, I need assistance",NOT_FRENCH,[]
J'aimerais aller de Caen à Parakou,TRIP,"[{""start"": 20, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 34, ""label"": ""Destination""}]"
Wie viel kostet es nach Hamburg?,NOT_FRENCH,[]
Aller de Amiens vers Tchaourou,TRIP,"[{""start"": 9, ""end"": 15, ""label"": ""Departure""}, {""start"": 21, ""end"": 30, ""label"": ""Destination""}]"
C'est possible d'aller de Besançon à Montreuil,TRIP,"[{""start"": 26, ""end"": 34, ""label"": ""Departure""}, {""start"": 37, ""end"": 46, ""label"": ""Destination""}]"
Comment aller de Montreuil à Bassila,TRIP,"[{""start"": 17, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 36, ""label"": ""Destination""}]"
Je me déplace la semaine prochaine de Le Havre à Argenteuil,TRIP,"[{""start"": 38, ""end"": 46, ""label"": ""Departure""}, {""start"": 49, ""end"": 59, ""label"": ""Destination""}]"
Thank you very much,NOT_FRENCH,[]
Quel est le numéro du service client,NOT_TRIP,[]
Je vais de Porto-Novo à Montreuil pour affaires,TRIP,"[{""start"": 11, ""end"": 21, ""label"": ""Departure""}, {""start"": 24, ""end"": 33, ""label"": ""Destination""}]"
Les horaires pour aller de Clermont-Ferrand à Angers,NOT_TRIP,[]
Merci pour votre aide,NOT_TRIP,[]
Quel est le numéro du service client,NOT_TRIP,[]
Merci pour votre aide,NOT_TRIP,[]
Je pars de Ouidah vers Saint-Denis pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 17, ""label"": ""Departure""}, {""start"": 23, ""end"": 34, ""label"": ""Destination""}]"
Guten Tag,NOT_FRENCH,[]
¿Cuánto cuesta ir a Valencia?,NOT_FRENCH,[]
Je dois effectuer le trajet Brest Comè,TRIP,"[{""start"": 28, ""end"": 33, ""label"": ""Departure""}, {""start"": 34, ""end"": 38, ""label"": ""Destination""}]"
De Marseille à Nantes,TRIP,"[{""start"": 3, ""end"": 12, ""label"": ""Departure""}, {""start"": 15, ""end"": 21, ""label"": ""Destination""}]"
Ich muss nach Frankfurt,NOT_FRENCH,[]
lol lol lol,UNKNOWN,[]
Porto-Novo / Boulogne-Billancourt,TRIP,"[{""start"": 0, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 33, ""label"": ""Destination""}]"
Je rentre à Tchaourou depuis Argenteuil,TRIP,"[{""start"": 29, ""end"": 39, ""label"": ""Departure""}, {""start"": 12, ""end"": 21, ""label"": ""Destination""}]"
Avez-vous des trains pour Nancy Pobè,NOT_TRIP,[]
Avez-vous des disponibilités pour un trajet Brest Rouen,TRIP,"[{""start"": 44, ""end"": 49, ""label"": ""Departure""}, {""start"": 50, ""end"": 55, ""label"": ""Destination""}]"
Wie viel kostet es nach Hamburg?,NOT_FRENCH,[]
Quels sont les horaires de train pour Lokossa Clermont-Ferrand,NOT_TRIP,[]
uzww,UNKNOWN,[]
A que horas sai o comboio?,NOT_FRENCH,[]
Bonne journée,NOT_TRIP,[]
de Bordeaux vers Brest,TRIP,"[{""start"": 3, ""end"": 11, ""label"": ""Departure""}, {""start"": 17, ""end"": 22, ""label"": ""Destination""}]"
Comè Boulogne-Billancourt,TRIP,"[{""start"": 0, ""end"": 4, ""label"": ""Departure""}, {""start"": 5, ""end"": 25, ""label"": ""Destination""}]"
"Good morning, I need assistance",NOT_FRENCH,[]
de Nîmes à Lokossa,TRIP,"[{""start"": 3, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 18, ""label"": ""Destination""}]"
¿Cómo llegar a Málaga?,NOT_FRENCH,[]
!!!???,UNKNOWN,[]
Avez-vous des trains pour Djougou Reims,NOT_TRIP,[]
Je rentre à Bordeaux depuis Le Mans,TRIP,"[{""start"": 28, ""end"": 35, ""label"": ""Departure""}, {""start"": 12, ""end"": 20, ""label"": ""Destination""}]"
Horarios de tren por favor,NOT_FRENCH,[]
Je désire un aller-retour de Tours vers Allada,NOT_TRIP,[]
Puis-je commander un aller simple pour Le Mans Paris,NOT_TRIP,[]
Je rentre à Villeurbanne depuis Saint-Étienne,TRIP,"[{""start"": 32, ""end"": 45, ""label"": ""Departure""}, {""start"": 12, ""end"": 24, ""label"": ""Destination""}]"
uzww,UNKNOWN,[]
Quels sont les horaires Bassila Natitingou,NOT_TRIP,[]
Quel est le numéro du service client,NOT_TRIP,[]
À quelle heure y a-t-il des trains de Nîmes à Montreuil,NOT_TRIP,[]
Il faut que j'aille de Bassila à Toulouse,TRIP,"[{""start"": 23, ""end"": 30, ""label"": ""Departure""}, {""start"": 33, ""end"": 41, ""label"": ""Destination""}]"
Wie viel kostet es nach Hamburg?,NOT_FRENCH,[]
Bassila / Montreuil,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 19, ""label"": ""Destination""}]"
Trajet Paris → Toulon,TRIP,"[{""start"": 7, ""end"": 12, ""label"": ""Departure""}, {""start"": 15, ""end"": 21, ""label"": ""Destination""}]"
Pouvez-vous me transférer le document,NOT_TRIP,[]
Je vais à Parakou depuis Paris cet après-midi,TRIP,"[{""start"": 25, ""end"": 30, ""label"": ""Departure""}, {""start"": 10, ""end"": 17, ""label"": ""Destination""}]"
Aller de Lyon vers Saint-Denis,TRIP,"[{""start"": 9, ""end"": 13, ""label"": ""Departure""}, {""start"": 19, ""end"": 30, ""label"": ""Destination""}]"
Avez-vous des trains pour Boulogne-Billancourt Orléans,NOT_TRIP,[]
Comment aller de Abomey à Sakété,TRIP,"[{""start"": 17, ""end"": 23, ""label"": ""Departure""}, {""start"": 26, ""end"": 32, ""label"": ""Destination""}]"
Comment commander un billet Nîmes Strasbourg,NOT_TRIP,[]
Je pars de Kétou vers Le Mans pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 16, ""label"": ""Departure""}, {""start"": 22, ""end"": 29, ""label"": ""Destination""}]"
Trains disponibles Besançon → Paris,NOT_TRIP,[]
!!!???,UNKNOWN,[]
Pouvez-vous me donner un billet de Dijon à Montreuil,NOT_TRIP,[]
Je veux aller de Ouidah à Toulouse,TRIP,"[{""start"": 17, ""end"": 23, ""label"": ""Departure""}, {""start"": 26, ""end"": 34, ""label"": ""Destination""}]"
Quels sont les horaires Le Mans Natitingou,NOT_TRIP,[]
Je voyage ce soir de Kandi vers Villeurbanne,TRIP,"[{""start"": 21, ""end"": 26, ""label"": ""Departure""}, {""start"": 32, ""end"": 44, ""label"": ""Destination""}]"
Prix du trajet Bohicon Kandi,NOT_TRIP,[]
Je souhaite obtenir un billet Cotonou - Paris,NOT_TRIP,[]
J'ai besoin d'un compte-rendu,NOT_TRIP,[]
qsdfghjklm,UNKNOWN,[]
Quiero un billete para Madrid,NOT_FRENCH,[]
J'aimerais aller de Nice à Malanville,TRIP,"[{""start"": 20, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 37, ""label"": ""Destination""}]"
Bohicon - Lille,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 15, ""label"": ""Destination""}]"
Je souhaite obtenir un billet Strasbourg - Le Mans,NOT_TRIP,[]
¿A qué hora sale el tren?,NOT_FRENCH,[]
Merci pour votre aide,NOT_TRIP,[]
Je pars de Lyon vers Bohicon pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 15, ""label"": ""Departure""}, {""start"": 21, ""end"": 28, ""label"": ""Destination""}]"
Je dois effectuer le trajet Clermont-Ferrand Malanville,TRIP,"[{""start"": 28, ""end"": 44, ""label"": ""Departure""}, {""start"": 45, ""end"": 55, ""label"": ""Destination""}]"
Je cherche un train Ouidah Perpignan,NOT_TRIP,[]
Pourrais-je avoir un trajet Angers - Nîmes,TRIP,"[{""start"": 28, ""end"": 34, ""label"": ""Departure""}, {""start"": 37, ""end"": 42, ""label"": ""Destination""}]"
Je pars de Grenoble vers Lille pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 19, ""label"": ""Departure""}, {""start"": 25, ""end"": 30, ""label"": ""Destination""}]"
de Parakou à Montpellier,TRIP,"[{""start"": 3, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 24, ""label"": ""Destination""}]"
De Djougou à Grenoble,TRIP,"[{""start"": 3, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 21, ""label"": ""Destination""}]"
Je désire un trajet de Savé à Saint-Étienne,TRIP,"[{""start"": 23, ""end"": 27, ""label"": ""Departure""}, {""start"": 30, ""end"": 43, ""label"": ""Destination""}]"
Comment commander un billet Bordeaux Nîmes,NOT_TRIP,[]
hahaha,UNKNOWN,[]
Há um comboio para Lisboa?,NOT_FRENCH,[]
Dijon / Cotonou,TRIP,"[{""start"": 0, ""end"": 5, ""label"": ""Departure""}, {""start"": 8, ""end"": 15, ""label"": ""Destination""}]"
Guten Tag,NOT_FRENCH,[]
Quanto custa ir a Coimbra?,NOT_FRENCH,[]
J'aimerais aller de Toulouse à Bohicon,TRIP,"[{""start"": 20, ""end"": 28, ""label"": ""Departure""}, {""start"": 31, ""end"": 38, ""label"": ""Destination""}]"
Avez-vous des places disponibles pour Nikki Cotonou,NOT_TRIP,[]
Je dois aller de Paris à Ouidah pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 31, ""label"": ""Destination""}]"
???,UNKNOWN,[]
Je dois aller de Lokossa à Clermont-Ferrand pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 43, ""label"": ""Destination""}]"
Lyon → Strasbourg,TRIP,"[{""start"": 0, ""end"": 4, ""label"": ""Departure""}, {""start"": 7, ""end"": 17, ""label"": ""Destination""}]"
Je cherche un train Clermont-Ferrand Metz,NOT_TRIP,[]
Puis-je commander un aller simple pour Kétou Allada,NOT_TRIP,[]
Réservation Ouidah → Amiens,NOT_TRIP,[]
Je désire un trajet de Amiens à Reims,TRIP,"[{""start"": 23, ""end"": 29, ""label"": ""Departure""}, {""start"": 32, ""end"": 37, ""label"": ""Destination""}]"
Est-ce que je peux réserver pour Besançon Comè,NOT_TRIP,[]
Pobè / Cotonou,TRIP,"[{""start"": 0, ""end"": 4, ""label"": ""Departure""}, {""start"": 7, ""end"": 14, ""label"": ""Destination""}]"
...,UNKNOWN,[]
Y a-t-il encore de la place Lille - Le Mans,NOT_TRIP,[]
Je rentre à Kétou depuis Ouidah,TRIP,"[{""start"": 25, ""end"": 31, ""label"": ""Departure""}, {""start"": 12, ""end"": 17, ""label"": ""Destination""}]"
Há um comboio para Lisboa?,NOT_FRENCH,[]
Il faut que j'aille de Sakété à Metz,TRIP,"[{""start"": 23, ""end"": 29, ""label"": ""Departure""}, {""start"": 32, ""end"": 36, ""label"": ""Destination""}]"
Je pars de Lille vers Porto-Novo pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 16, ""label"": ""Departure""}, {""start"": 22, ""end"": 32, ""label"": ""Destination""}]"
Je compte partir de Nantes vers Comè,TRIP,"[{""start"": 20, ""end"": 26, ""label"": ""Departure""}, {""start"": 32, ""end"": 36, ""label"": ""Destination""}]"
Combien coûte Le Mans - Nikki,NOT_TRIP,[]
!!!,UNKNOWN,[]
Félicitations pour votre travail,NOT_TRIP,[]
Je me déplace la semaine prochaine de Pobè à Argenteuil,TRIP,"[{""start"": 38, ""end"": 42, ""label"": ""Departure""}, {""start"": 45, ""end"": 55, ""label"": ""Destination""}]"
Réservation Kandi → Strasbourg,NOT_TRIP,[]
Obrigado,NOT_FRENCH,[]
Limoges Toulouse,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 8, ""end"": 16, ""label"": ""Destination""}]"
Départ: Comè Destination: Clermont-Ferrand,TRIP,"[{""start"": 8, ""end"": 12, ""label"": ""Departure""}, {""start"": 26, ""end"": 42, ""label"": ""Destination""}]"
¿Hay un tren a Barcelona?,NOT_FRENCH,[]
J'aimerais aller de Saint-Étienne à Clermont-Ferrand,TRIP,"[{""start"": 20, ""end"": 33, ""label"": ""Departure""}, {""start"": 36, ""end"": 52, ""label"": ""Destination""}]"
Aller de Annecy vers Paris,TRIP,"[{""start"": 9, ""end"": 15, ""label"": ""Departure""}, {""start"": 21, ""end"": 26, ""label"": ""Destination""}]"
xD xD xD,UNKNOWN,[]
grrr,UNKNOWN,[]
Pourrais-je avoir un trajet Bordeaux - Montreuil,TRIP,"[{""start"": 28, ""end"": 36, ""label"": ""Departure""}, {""start"": 39, ""end"": 48, ""label"": ""Destination""}]"
